"run","tick","OriginOfConsumedResouces"
1,3.0,"Western Africa:Northern America|43792.47;South America|0.0;Central Asia|0.0;Eastern Europe|1298.0;Northern Europe|4630.5;Western Europe|50401.68;Oceania|21733.6;Russian Federation|0.0;India|0.0;Pakistan|0.0;United States of America|83560.9;China|0.0;"
1,3.0,"Oceania:Northern America|0.0;South America|0.0;Central Asia|0.0;Eastern Europe|0.0;Northern Europe|0.0;Western Europe|0.0;Oceania|379910.8;Russian Federation|0.0;India|0.0;Pakistan|0.0;United States of America|0.0;China|0.0;"
1,3.0,"South America:Northern America|79032.24;South America|1304325.48;Central Asia|0.0;Eastern Europe|0.0;Northern Europe|8356.74;Western Europe|90963.94;Oceania|31395.3;Russian Federation|0.0;India|0.0;Pakistan|0.0;United States of America|150806.88;China|0.0;"
1,3.0,"Northern Africa:Northern America|221178.08;South America|0.0;Central Asia|0.0;Eastern Europe|6564.0;Northern Europe|23388.9;Western Europe|254567.34;Oceania|109753.6;Russian Federation|0.0;India|0.0;Pakistan|0.0;United States of America|422043.78;China|0.0;"
1,3.0,"Southern Asia:Northern America|79370.27;South America|0.0;Central Asia|0.0;Eastern Europe|0.0;Northern Europe|8519.28;Western Europe|92727.97;Oceania|41175.7;Russian Federation|0.0;India|0.0;Pakistan|2390.0;United States of America|153732.82;China|0.0;"
1,3.0,"Eastern Europe:Northern America|120546.41;South America|0.0;Central Asia|0.0;Eastern Europe|3226221.45;Northern Europe|12746.9;Western Europe|138743.15;Oceania|40354.5;Russian Federation|0.0;India|0.0;Pakistan|0.0;United States of America|230021.56;China|0.0;"
1,3.0,"Middle Africa:Northern America|9382.16;South America|0.0;Central Asia|0.0;Eastern Europe|286.0;Northern Europe|1023.46;Western Europe|11129.2;Oceania|5086.7;Russian Federation|0.0;India|0.0;Pakistan|0.0;United States of America|18450.4;China|0.0;"
1,3.0,"Central America:Northern America|76857.92;South America|0.0;Central Asia|0.0;Eastern Europe|0.0;Northern Europe|8128.28;Western Europe|88458.77;Oceania|38139.7;Russian Federation|0.0;India|0.0;Pakistan|0.0;United States of America|148935.66;China|0.0;"
1,3.0,"Southern Africa:Northern America|21720.73;South America|0.0;Central Asia|0.0;Eastern Europe|0.0;Northern Europe|2368.0;Western Europe|25763.22;Oceania|11772.2;Russian Federation|0.0;India|664.0;Pakistan|0.0;United States of America|42714.22;China|0.0;"
1,3.0,"South-Eastern Asia:Northern America|110625.92;South America|0.0;Central Asia|0.0;Eastern Europe|0.0;Northern Europe|11875.22;Western Europe|129244.01;Oceania|59055.9;Russian Federation|0.0;India|1666.0;Pakistan|0.0;United States of America|212604.3;China|1666.0;"
1,3.0,"China:Northern America|176733.96;South America|0.0;Central Asia|0.0;Eastern Europe|0.0;Northern Europe|21793.14;Western Europe|237206.98;Oceania|108386.0;Russian Federation|0.0;India|0.0;Pakistan|0.0;United States of America|363901.86;China|8760911.42;"
1,3.0,"Pakistan:Northern America|57581.27;South America|0.0;Central Asia|0.0;Eastern Europe|0.0;Northern Europe|6587.74;Western Europe|71693.77;Oceania|32759.1;Russian Federation|0.0;India|0.0;Pakistan|1261966.94;United States of America|114151.32;China|0.0;"
1,3.0,"Eastern Asia:Northern America|191896.33;South America|0.0;Central Asia|0.0;Eastern Europe|0.0;Northern Europe|20598.38;Western Europe|224191.02;Oceania|102437.4;Russian Federation|0.0;India|0.0;Pakistan|0.0;United States of America|368795.62;China|5780.0;"
1,3.0,"Russian Federation:Northern America|145333.99;South America|0.0;Central Asia|0.0;Eastern Europe|0.0;Northern Europe|15369.0;Western Europe|167273.43;Oceania|51342.3;Russian Federation|3470628.74;India|0.0;Pakistan|0.0;United States of America|277321.7;China|0.0;"
1,3.0,"Western Asia:Northern America|39044.52;South America|0.0;Central Asia|0.0;Eastern Europe|1176.0;Northern Europe|4192.22;Western Europe|45613.32;Oceania|20253.6;Russian Federation|0.0;India|0.0;Pakistan|0.0;United States of America|75624.9;China|0.0;"
1,3.0,"Southern Europe:Northern America|71890.29;South America|0.0;Central Asia|0.0;Eastern Europe|2132.0;Northern Europe|7602.26;Western Europe|82742.77;Oceania|35674.6;Russian Federation|0.0;India|0.0;Pakistan|0.0;United States of America|137179.2;China|0.0;"
1,3.0,"Eastern Africa:Northern America|24399.93;South America|0.0;Central Asia|0.0;Eastern Europe|0.0;Northern Europe|2660.56;Western Europe|28941.76;Oceania|13226.0;Russian Federation|0.0;India|0.0;Pakistan|746.0;United States of America|47983.54;China|0.0;"
1,3.0,"Northern America:Northern America|727458.52;South America|0.0;Central Asia|0.0;Eastern Europe|0.0;Northern Europe|354.0;Western Europe|0.0;Oceania|0.0;Russian Federation|0.0;India|0.0;Pakistan|0.0;United States of America|0.0;China|0.0;"
1,3.0,"Northern Europe:Northern America|0.0;South America|0.0;Central Asia|0.0;Eastern Europe|0.0;Northern Europe|1597480.94;Western Europe|0.0;Oceania|0.0;Russian Federation|0.0;India|0.0;Pakistan|0.0;United States of America|0.0;China|0.0;"
1,3.0,"United States of America:Northern America|0.0;South America|0.0;Central Asia|0.0;Eastern Europe|0.0;Northern Europe|0.0;Western Europe|0.0;Oceania|0.0;Russian Federation|0.0;India|0.0;Pakistan|0.0;United States of America|2688320.88;China|0.0;"
1,3.0,"Central Asia:Northern America|28749.71;South America|0.0;Central Asia|1108926.74;Eastern Europe|0.0;Northern Europe|3443.62;Western Europe|37467.73;Oceania|13317.1;Russian Federation|0.0;India|0.0;Pakistan|0.0;United States of America|62116.96;China|0.0;"
1,3.0,"India:Northern America|48285.12;South America|0.0;Central Asia|0.0;Eastern Europe|0.0;Northern Europe|5107.3;Western Europe|55572.66;Oceania|25394.0;Russian Federation|0.0;India|4857124.8;Pakistan|0.0;United States of America|61595.72;China|0.0;"
1,4.0,"Western Europe:Northern America|0.0;South America|0.0;Central Asia|0.0;Eastern Europe|9691.0;Northern Europe|7561.0;Western Europe|2785431.52;Oceania|0.0;Russian Federation|0.0;India|0.0;Pakistan|0.0;United States of America|0.0;China|0.0;"
1,4.0,"Western Africa:Northern America|43792.47;South America|0.0;Central Asia|0.0;Eastern Europe|1947.0;Northern Europe|4630.5;Western Europe|50533.96;Oceania|21438.84;Russian Federation|0.0;India|0.0;Pakistan|0.0;United States of America|84666.15;China|0.0;"
1,4.0,"Oceania:Northern America|0.0;South America|0.0;Central Asia|0.0;Eastern Europe|0.0;Northern Europe|0.0;Western Europe|0.0;Oceania|385755.52;Russian Federation|0.0;India|0.0;Pakistan|0.0;United States of America|0.0;China|0.0;"
1,4.0,"South America:Northern America|79032.24;South America|1306149.64;Central Asia|0.0;Eastern Europe|0.0;Northern Europe|8356.74;Western Europe|91202.68;Oceania|26950.72;Russian Federation|0.0;India|0.0;Pakistan|0.0;United States of America|152801.68;China|0.0;"
1,4.0,"Northern Africa:Northern America|221178.08;South America|0.0;Central Asia|0.0;Eastern Europe|9846.0;Northern Europe|23388.9;Western Europe|255235.48;Oceania|111543.04;Russian Federation|0.0;India|0.0;Pakistan|0.0;United States of America|424344.33;China|0.0;"
